12:50:18.058 [main] INFO  com.sl.utils.WebDriverLogger - WebDriver navigated to 'http://10.65.50.157:8081/smarttube/master/adminui4/app/'
12:50:24.201 [main] INFO  com.sl.utils.WebDriverLogger - WebDriver find By 'By.id: btnSignIn'
12:50:24.260 [main] INFO  com.sl.utils.WebDriverLogger - WebDriver find By 'By.id: row.login'
12:50:24.325 [main] INFO  com.sl.utils.WebDriverLogger - WebDriver changed value for element - tag:input id: row.login ('')
12:50:24.325 [main] INFO  com.sl.utils.WebDriverLogger - WebDriver find By 'By.id: row.login'
12:50:24.409 [main] INFO  com.sl.utils.WebDriverLogger - WebDriver changed value for element - tag:input id: row.login ('admin')
12:50:24.409 [main] INFO  com.sl.utils.WebDriverLogger - WebDriver find By 'By.id: row.password'
12:50:24.465 [main] INFO  com.sl.utils.WebDriverLogger - WebDriver changed value for element - tag:input id: row.password ('')
12:50:24.465 [main] INFO  com.sl.utils.WebDriverLogger - WebDriver find By 'By.id: row.password'
12:50:24.542 [main] INFO  com.sl.utils.WebDriverLogger - WebDriver changed value for element - tag:input id: row.password ('admin')
12:50:24.542 [main] INFO  com.sl.utils.WebDriverLogger - WebDriver find By 'By.id: btnSignIn'
12:50:24.747 [main] INFO  com.sl.utils.WebDriverLogger - WebDriver find By 'By.selector: [href='BroadcastChannel/list']'
